Author,Comment,Photo,Channel_ID,Timestamp
D,I think I'm a muppet,https://yt3.ggpht.com/-NXMmGx6kd50/AAAAAAAAAAI/AAAAAAAAAAA/Q8oBJ0B8-Bk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCDch8j2ygpzgAG3T2MpmG-g,1592801045895354
Novaruuu,assalamualaikum,https://yt3.ggpht.com/--kkGrrF7iMI/AAAAAAAAAAI/AAAAAAAAAAA/g1vW3preTNg/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCdPvbIr09OHKKus-L2upADQ,1592801048688007
b l u e d r e a m,wby ??,https://yt3.ggpht.com/-PXVFfzEF2eY/AAAAAAAAAAI/AAAAAAAAAAA/Hr-comZMDM8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC6Ptrz5gNx8xFcX0Q4UmvOw,1592801051247069
norlan diaz,I love sampada haha... great vibes ,https://yt3.ggpht.com/-dW6lQ0azVrM/AAAAAAAAAAI/AAAAAAAAAAA/hWXtz_jHuCM/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC71QaezB9IGq1Y-fZgu9oHg,1592801051422775
Katia Flores,hola :D,https://yt3.ggpht.com/-qlKSU5nQzuQ/AAAAAAAAAAI/AAAAAAAAAAA/DLdBulSHlOc/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC1KKfjJFfxvL_bamKIRKtJw,1592801053132888
One Sight,"What, this is my real pic",https://yt3.ggpht.com/-lPmIUNEMLWE/AAAAAAAAAAI/AAAAAAAAAAA/ZkW-I3GD9Pc/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCN0TbGs9tltzhpAUcWvkAEA,1592801368077710
rulisew,dr igoo breeeeo,https://yt3.ggpht.com/-gLqkLlcd5dE/AAAAAAAAAAI/AAAAAAAAAAA/aa0TNC86H0c/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC5Za3O-p3M4oeAuf20V5ksQ,1592801368121064
D,"why did you asked if I remember you , Heaven",https://yt3.ggpht.com/-NXMmGx6kd50/AAAAAAAAAAI/AAAAAAAAAAA/Q8oBJ0B8-Bk/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCDch8j2ygpzgAG3T2MpmG-g,1592801368537220
V Marie,@lucifer yes I started a business today just need to go the the city and get my papers stamped and be official,https://yt3.ggpht.com/-pBpYHtHv4yM/AAAAAAAAAAI/AAAAAAAAAAA/G2KgSER8ILg/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCspFAm9jcg0_jHsKKmIzN-Q,1592801378394948
Avery Wagner,I have an itchy bug bite,https://yt3.ggpht.com/-wXl60rdGM4E/AAAAAAAAAAI/AAAAAAAAAAA/exBdHl04m0U/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCCyQ7zRAhBQx0-7dc7tB6fw,1592801380793112
b l u e d r e a m,my aunt owns a restaurant in California,https://yt3.ggpht.com/-PXVFfzEF2eY/AAAAAAAAAAI/AAAAAAAAAAA/Hr-comZMDM8/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC6Ptrz5gNx8xFcX0Q4UmvOw,1592801385180698
