Author,Comment,Photo,Channel_ID,Timestamp
Brandon Max,This is so stupid,https://yt3.ggpht.com/-o6VneShiHbU/AAAAAAAAAAI/AAAAAAAAAAA/_QiGFuEL9PQ/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCJyxu3-WNz2WzljCT2XzZnQ,1592920000000000.0
brian kim,what time is over there?,https://yt3.ggpht.com/-mYj65QlejT8/AAAAAAAAAAI/AAAAAAAAAAA/aY-OE68mYRw/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCQ5e_TCJH-v1uDw57KFqZcA,1592920000000000.0
DNA Electronics,Lots of conspiracy theory fruit cakes in here! lawl,https://yt3.ggpht.com/-lWnS8aOwsWk/AAAAAAAAAAI/AAAAAAAAAAA/XWMYS0nyMXU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCd0VetiR_xrosY7Xu_jitpQ,1592920000000000.0
Isaac Bac,TRUMP 2020,https://yt3.ggpht.com/-yXUer633_kU/AAAAAAAAAAI/AAAAAAAAAAA/pYUPtbClEZY/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCbqx4f27bQ9RiDyo5M9H0sg,1592920000000000.0
PopCornWasA BadDude,DAVID DORN,https://yt3.ggpht.com/-2gOijhu2Ri4/AAAAAAAAAAI/AAAAAAAAAAA/p6ArFsLhm1A/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC2lf64ctWebvCp5bPJ7K4Og,1592920000000000.0
Jansammie,Trump does not incite violence fool. Leave that to Antifa and BLM,https://yt3.ggpht.com/-qMmi23WIbk0/AAAAAAAAAAI/AAAAAAAAAAA/jDXmf-euAAY/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCEdX3Zvv8NwYqiNpIHBXnHw,1592920000000000.0
Pat Riley,Why isn't Obama protesting? He is a private citizen now.,https://yt3.ggpht.com/-gssLWFEh108/AAAAAAAAAAI/AAAAAAAAAAA/ig97wNCpo0Y/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCp1uKBp3FKhPwsK3nPvKRnQ,1592920000000000.0
DNA Electronics,No actually I'm not. Unlike you I posses critical thinking and scepticism,https://yt3.ggpht.com/-lWnS8aOwsWk/AAAAAAAAAAI/AAAAAAAAAAA/XWMYS0nyMXU/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCd0VetiR_xrosY7Xu_jitpQ,1592920000000000.0
Brandon Max,DNA lives in Canada,https://yt3.ggpht.com/-o6VneShiHbU/AAAAAAAAAAI/AAAAAAAAAAA/_QiGFuEL9PQ/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCJyxu3-WNz2WzljCT2XzZnQ,1592920000000000.0
Claire,people saying tin foil hats conspiracy theories are true there not mad just more intelligent it's called intelligence curious and there amongst the brainiest people alive,https://yt3.ggpht.com/-GMN42jNZUvE/AAAAAAAAAAI/AAAAAAAAAAA/DszhaGkdBxE/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCx_6NHrcypz112YdKSGK3pw,1592920000000000.0
kungfu2toe,go home afro american,https://yt3.ggpht.com/-cg6MIkCX64A/AAAAAAAAAAI/AAAAAAAAAAA/0Vrtkel68vA/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UCbi8FlVde57w2Z-4ZhuPpdQ,1592920000000000.0
Matt K,how about No Jasminka,https://yt3.ggpht.com/-_twGB99wFBA/AAAAAAAAAAI/AAAAAAAAAAA/5NTHpKA8Slg/s64-c-k-no-mo-rj-c0xffffff/photo.jpg,UC8XDPDEAvgOe8DjoL1_i86A,1592920000000000.0
